spo_list,count,quantity_required,compliance
人物-任职公司-公司,3227,200,1
人物-任职公司-日期,1,1,0
人物-任职日期-日期,3919,200,1
人物-出生日期-日期,758,200,1
人物-国籍-国家,789,200,1
人物-大专-学历,253,200,1
人物-本科-学历,277,200,1
人物-毕业院校-学校,223,200,1
人物-研究生-学历,235,200,1
公司-会议召开日期-日期,377,200,1
公司-关联方-公司,1752,200,1
公司-发起人-公司,34,34,0
公司-变更日期-日期,450,200,1
公司-成立日期-日期,717,200,1
公司-报告期期末-日期,19,19,0
公司-持有5%以上股份的主要股东-公司,312,200,1
公司-转让日期-日期,319,200,1
报告-出具日期-日期,2,2,0
报告-截止日期-日期,271,200,1
文件-出具日期-日期,2552,200,1
日期-主营业务成本-金额,148,148,0
日期-主营业务收入-金额,254,200,1
日期-信用减值损失-金额,25,25,0
日期-公允价值变动损益-金额,110,110,0
日期-公司应收票据和应收款项融资合计-金额,11,11,0
日期-公司投资活动产生的现金流量净额-金额,347,200,1
日期-公司筹资活动产生的现金流量净额-金额,307,200,1
日期-公司经营活动产生的现金流量净额-金额,253,200,1
日期-其他应付款-金额,294,200,1
日期-其他应付款余额-金额,315,200,1
日期-其他应收款余额-金额,241,200,1
日期-其他应收款净额-金额,216,200,1
日期-其他应收账款账面价值-金额,220,200,1
日期-其他成本-金额,335,200,1
日期-其他收入-金额,331,200,1
日期-其他收益-金额,392,200,1
日期-其他流动负债-金额,26,26,0
日期-其他流动负债余额-金额,9,9,0
日期-其他流动资产-金额,176,176,0
日期-其他流动资产余额-金额,39,39,0
日期-其他非流动负债-金额,7,7,0
日期-其他非流动负债的余额-金额,22,22,0
日期-其他非流动资产-金额,136,136,0
日期-净利润-金额,611,200,1
日期-净资产价值-金额,461,200,1
日期-净资产评估值-金额,242,200,1
日期-净资产账面价值-金额,619,200,1
日期-出资额评估值-金额,41,41,0
日期-合同负债-金额,5,5,0
日期-固定资产-金额,212,200,1
日期-固定资产净额-金额,170,170,0
日期-固定资产账面价值-金额,239,200,1
日期-在产品余额-金额,34,34,0
日期-在建工程余额-金额,288,200,1
日期-在建工程净额-金额,125,125,0
日期-在建工程账面价值-金额,223,200,1
日期-坏账准备-金额,299,200,1
日期-存货-金额,229,200,1
日期-存货余额-金额,297,200,1
日期-存货净值-金额,81,81,0
日期-存货账面价值-金额,233,200,1
日期-存货账面余额-金额,45,45,0
日期-存货跌价准备-金额,211,200,1
日期-存货跌价准备余额-金额,27,27,0
日期-存货跌价损失-金额,4,4,0
日期-应交税费-金额,358,200,1
日期-应交税费余额-金额,200,200,1
日期-应付利息-金额,167,167,0
日期-应付利息余额-金额,21,21,0
日期-应付票据-金额,204,200,1
日期-应付职工薪酬-金额,202,200,1
日期-应付职工薪酬余额-金额,333,200,1
日期-应付账款-金额,379,200,1
日期-应付账款余额-金额,345,200,1
日期-应收合计-金额,25,25,0
日期-应收帐款净额-金额,138,138,0
日期-应收帐款坏账准备-金额,91,91,0
日期-应收帐款账面价值-金额,179,179,0
日期-应收票据-金额,222,200,1
日期-应收票据余额-金额,198,198,0
日期-应收票据账面价值-金额,41,41,0
日期-应收账款余额-金额,315,200,1
日期-应收账款净额-金额,404,200,1
日期-应收账款账面余额-金额,326,200,1
日期-总营业成本-金额,109,109,0
日期-总负债-金额,209,200,1
日期-总资产-金额,571,200,1
日期-息税折旧摊销前利润-金额,199,199,0
日期-投资收益-金额,215,200,1
日期-无形资产-金额,327,200,1
日期-无形资产余额-金额,89,89,0
日期-无形资产账面价值-金额,234,200,1
日期-期间费用-金额,149,149,0
日期-未分配利润-金额,218,200,1
日期-每股净现金流量-金额,17,17,0
日期-每股净资产-金额,72,72,0
日期-每股经营活动产生的现金流量净额-金额,52,52,0
日期-毛利额-金额,202,200,1
日期-注册资本-金额,1388,200,1
日期-流动负债-金额,223,200,1
日期-流动负债余额-金额,15,15,0
日期-流动资产-金额,232,200,1
日期-盈余公积-金额,196,196,0
日期-短期借款-金额,258,200,1
日期-短期借款余额-金额,241,200,1
日期-研发费用-金额,212,200,1
日期-税金及附加-金额,52,52,0
日期-管理费用-金额,279,200,1
日期-罚款-金额,85,85,0
日期-股东权益评估值-金额,84,84,0
日期-股本-金额,261,200,1
日期-营业利润-金额,245,200,1
日期-营业外支出-金额,216,200,1
日期-营业外收入-金额,268,200,1
日期-营业收入-金额,773,200,1
日期-设备销售收入-金额,18,18,0
日期-财务费用-金额,227,200,1
日期-货币资金-金额,238,200,1
日期-货币资金余额-金额,276,200,1
日期-资产减值损失-金额,208,200,1
日期-资产处置收益-金额,7,7,0
日期-资本公积-金额,215,200,1
日期-递延所得税负债-金额,57,57,0
日期-递延所得税资产-金额,214,200,1
日期-递延所得税资产余额-金额,48,48,0
日期-销售费用-金额,235,200,1
日期-销售返利-金额,1,1,0
日期-长期借款-金额,200,200,1
日期-长期借款余额-金额,195,195,0
日期-长期应付款-金额,119,119,0
日期-长期应收款-金额,106,106,0
日期-长期待摊费用-金额,223,200,1
日期-长期待摊费用的余额-金额,55,55,0
日期-长期股权投资账面价值-金额,59,59,0
日期-长期股权投资账面余额-金额,26,26,0
日期-非流动负债-金额,195,195,0
日期-非流动资产-金额,270,200,1
日期-非经常性损益-金额,223,200,1
日期-项目运营成本-金额,16,16,0
日期-项目运营收入-金额,2,2,0
日期-预付款项-金额,298,200,1
日期-预付款项余额-金额,215,200,1
日期-预付账款余额-金额,166,166,0
日期-预收款项-金额,301,200,1
日期-预收款项余额-金额,167,167,0
日期-预收账款余额-金额,194,194,0
日期-预计负债-金额,18,18,0
比率-利息保障倍数-日期,177,177,0
比率-存货周转率-日期,249,200,1
比率-应收账款周转率-日期,262,200,1
比率-流动比率-日期,223,200,1
比率-资产负债率-日期,224,200,1
比率-速动比率-日期,229,200,1
